Ticker,Description
GREK,Greece
EWI,Italy
EWO,Austria
EFNL,Finland
EWY,South Korea
ARGT,Argentina
EWQ,France
TUR,Turkey
EWP,Spain
PAK,Pakistan
EWK,Belgium
EIRL,Ireland
EPOL,Poland
EWN,Netherlands
EWD,Sweden
EWG,Germany
EWL,Switzerland
EWZ,Brazil
GXG,Columbia
EPI,India
EWU,United Kingdom
EWH,Hong Kong
EPHE,Phillipines
EWM,Malaysia
EWS,Singapore
EWT,Taiwan
EIS,Isreal
EWW,Mexico
EZA,South Africa
NORW,Norway
NGE,Nigeria
IDX,Indonesia
EPU,Peru
EWJ,Japan
VNM,Vietnam
UAE,UAE
EGPT,Egypt
SPY,USA
RSX,Russia
FXI,China
ECH,Chile
EWC,Canada
EWA,Australia
EDEN,Denmark
TLT,US Long Treasury
IEF,US Mid Treasury
GLD,Gold
